A;SECTION A HUMAN NECESSITIES
A61K0038020000;Peptides of undefined number of amino acids. Derivatives thereof
A61K0038030000;Peptides having up to 20 amino acids in an undefined or only partially defined sequence. Derivatives thereof
A61K0038040000;Peptides having up to 20 amino acids in a fully defined sequence. Derivatives thereof (gastrins A61K0038160000, somatostatins A61K0038310000, melanotropins A61K0038340000)
A61K0038050000;Dipeptides
A61K0038060000;Tripeptides
A61K0038070000;Tetrapeptides
A61K0038080000;Peptides having 5 to 11 amino acids
A61K0038090000;Luteinising hormone-releasing hormone (LHRH). Related peptides
A61K0038100000;Peptides having 12 to 20 amino acids
A61K0038110000;Oxytocins. Vasopressins. Related peptides
A61K0038120000;Cyclic peptides
A61K0038130000;Cyclosporins
A61K0038140000;Peptides containing saccharide radicals. Derivatives thereof
A61K0038150000;Depsipeptides. Derivatives thereof
A61K0038160000;Peptides having more than 20 amino acids. Gastrins. Somatostatins. Melanotropins. Derivatives thereof
A61K0038170000;from animals. from humans
A61K0038180000;Growth factors. Growth regulators
A61K0038190000;Cytokines. Lymphokines. Interferons
A61K0038200000;Interleukins
A61K0038210000;Interferons
A61K0038220000;Hormones (derived from pro-opiomelanocortin, pro-enkephalin or pro-dynorphin A61K0038330000, e.g. corticotropin A61K0038350000)
A61K0038230000;Calcitonins
A61K0038240000;Follicle-stimulating hormone (FSH). Chorionic gonadotropins, e.g. HCG. Luteinising hormone (LH). Thyroid-stimulating hormone (TSH)
A61K0038250000;Growth hormone-releasing factor (GH-RF) (Somatoliberin)
A61K0038260000;Glucagons
A61K0038270000;Growth hormone (GH) (Somatotropin)
A61K0038280000;Insulins
A61K0038290000;Parathyroid hormone (parathormone). Parathyroid hormone-related peptides
A61K0038300000;Insulin-like growth factors (Somatomedins), e.g. IGF-1, IGF-2
A61K0038310000;Somatostatins
A61K0038320000;Thymopoietins
A61K0038330000;derived from pro-opiomelanocortin, pro-enkephalin or pro-dynorphin
A61K0038340000;Melanocyte stimulating hormone (MSH), e.g. alpha- or beta-melanotropin
A61K0038350000;Corticotropin (ACTH)
A61K0038360000;Blood coagulation or fibrinolysis factors
A61K0038370000;Factors VIII
A61K0038380000;Albumins
A61K0038390000;Connective tissue peptides, e.g. collagen, elastin, laminin, fibronectin, vitronectin, cold insoluble globulin (CIG)
A61K0038400000;Transferrins, e.g. lactoferrins, ovotransferrins
A61K0038410000;Porphyrin- or corrin-ring-containing peptides
A61K0038420000;Haemoglobins. Myoglobins
A61K0038430000;Enzymes. Proenzymes. Derivatives thereof
A61K0038440000;Oxidoreductases (1)
A61K0038450000;Transferases (2)
A61K0038460000;Hydrolases (3)
A61K0038470000;acting on glycosyl compounds (3.2), e.g. cellulases, lactases
A61K0038480000;acting on peptide bonds (3.4)
A61K0038490000;Urokinase. Tissue plasminogen activator
A61K0038500000;acting on carbon-nitrogen bonds, other than peptide bonds (3.5), e.g. asparaginase
A61K0038510000;Lyases (4)
A61K0038520000;Isomerases (5)
A61K0038530000;Ligases (6)
A61K0038540000;Mixtures of enzymes or proenzymes covered by more than a single one of groups . A61K0038440000-A61K0038460000.  or A61K0038510000-A61K0038530000
A61K0038550000;Protease inhibitors
A61K0038560000;from plants
A61K0038570000;from animals. from humans
A61K0038580000;from leeches, e.g. hirudin, eglin
A61K0039000000;Medicinal preparations containing antigens or antibodies (materials for immunoassay G01N0033530000)
A61K0039002000;Protozoa antigens
A61K0039005000;Trypanosoma antigens
A61K0039008000;Leishmania antigens
A61K0039012000;Coccidia antigens
A61K0039015000;Hemosporidia antigens, e.g. Plasmodium antigens
A61K0039018000;Babesia antigens, e.g. Theileria antigens
A61K0039020000;Bacterial antigens
A61K0039040000;Mycobacterium, e.g. Mycobacterium tuberculosis
A61K0039050000;Corynebacterium. Propionibacterium
A61K0039070000;Bacillus
A61K0039080000;Clostridium, e.g. Clostridium tetani
A61K0039085000;Staphylococcus
A61K0039090000;Streptococcus
A61K0039095000;Neisseria
A61K0039100000;Brucella. Bordetella, e.g. Bordetella pertussis
A61K0039102000;Pasteurella. Haemophilus
A61K0039104000;Pseudomonas
A61K0039106000;Vibrio. Campylobacter
A61K0039108000;Escherichia. Klebsiella
A61K0039112000;Salmonella. Shigella
A61K0039114000;Fusobacterium
A61K0039116000;Polyvalent bacterial antigens
A61K0039118000;Chlamydiaceae, e.g. Chlamydia trachomatis or Chlamydia psittaci
A61K0039120000;Viral antigens
A61K0039125000;Picornaviridae, e.g. calicivirus
A61K0039130000;Poliovirus
A61K0039135000;Foot-and-mouth disease virus
A61K0039145000;Orthomyxoviridae, e.g. influenza virus
A61K0039150000;Reoviridae, e.g. calf diarrhea virus
A61K0039155000;Paramyxoviridae, e.g. parainfluenza virus
A61K0039165000;Mumps or measles virus
A61K0039170000;Newcastle disease virus
A61K0039175000;Canine distemper virus
A61K0039187000;Hog cholera virus
A61K0039193000;Equine encephalomyelitis virus
A61K0039200000;Rubella virus
A61K0039205000;Rhabdoviridae, e.g. rabies virus
A61K0039210000;Retroviridae, e.g. equine infectious anemia virus
A61K0039215000;Coronaviridae, e.g. avian infectious bronchitis virus
A61K0039225000;Porcine transmissible gastroenteritis virus
A61K0039230000;Parvoviridae, e.g. feline panleukopenia virus
A61K0039235000;Adenoviridae
A61K0039245000;Herpetoviridae, e.g. herpes simplex virus
A61K0039250000;Varicella-zoster virus
A61K0039255000;Marek's disease virus
A61K0039265000;Infectious rhinotracheitis virus
A61K0039270000;Equine rhinopneumonitis virus
A61K0039275000;Poxviridae, e.g. avipoxvirus
A61K0039285000;Vaccinia virus or variola virus
A61K0039290000;Hepatitis virus
A61K0039295000;Polyvalent viral antigens (vaccinia virus or variola virus A61K0039285000). Mixtures of viral and bacterial antigens
A61K0039350000;Allergens
A61K0039360000;from pollen
A61K0039380000;Antigens from snakes
A61K0039385000;Haptens or antigens, bound to carriers
A61K0039390000;characterised by the immunostimulating additives, e.g. chemical adjuvants
A61K0039395000;Antibodies (agglutinins A61K0038360000). Immunoglobulins. Immune serum, e.g. antilymphocytic serum
A61K0039400000;bacterial
A61K0039420000;viral
A61K0039440000;Antibodies bound to carriers
A61K0041000000;Medicinal preparations obtained by treating materials with wave energy or particle radiation (A61K0031590000 takes precedence)..
A61K0045000000;Medicinal preparations containing active ingredients not provided for in groups . A61K0031000000-A61K0041000000
A61K0045060000;Mixtures of active ingredients without chemical characterisation, e.g. antiphlogistics and cardiaca
A61K0045080000;Mixtures of an active ingredient and an auxiliary substance neither being chemically characterised, e.g. antihistaminicum and surface active substance
A61K0047000000;Medicinal preparations characterised by the non-active ingredients used, e.g. carriers, inert additives
A61K0047020000;Inorganic compounds
A61K0047040000;Non-metals. Compounds thereof
A61K0047060000;Organic compounds
A61K0047080000;containing oxygen
A61K0047100000;Alcohols. Phenols. Salts thereof
A61K0047120000;Carboxylic acids. Salts or anhydrides thereof
A61K0047140000;Esters of carboxylic acids
A61K0047160000;containing nitrogen
A61K0047180000;Amines. Quaternary ammonium compounds
A61K0047200000;containing sulfur
A61K0047220000;Heterocyclic compounds
A61K0047240000;containing atoms other than carbon, hydrogen, halogen, oxygen, nitrogen or sulfur
A61K0047260000;Carbohydrates
A61K0047280000;Steroids
A61K0047300000;Macromolecular compounds
A61K0047320000;Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds
A61K0047340000;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds
A61K0047360000;Polysaccharides. Derivatives thereof
A61K0047380000;Cellulose. Derivatives thereof
A61K0047400000;Cyclodextrins. Derivatives thereof
A61K0047420000;Proteins. Polypeptides. Degradation products thereof. Derivatives thereof
A61K0047440000;Oils, fats or waxes according to more than one of groups . A61K0047020000-A61K0047420000
A61K0047460000;Ingredients of undetermined constitution or reaction products thereof
A61K0047480000;the non-active ingredient being chemically bound to the active ingredient, e.g. polymer drug conjugates
A61K0048000000;Medicinal preparations containing genetic material which is inserted into cells of the living body to treat genetic diseases. Gene therapy
A61K0049000000;Preparations for testing . in vivo
A61K0049040000;X-ray contrast preparations
A61K0049060000;Nuclear magnetic resonance (NMR) contrast preparations. Magnetic resonance imaging (MRI) contrast preparations
A61K0049080000;characterised by the carrier
A61K0049100000;Organic compounds
A61K0049120000;Macromolecular compounds
A61K0049140000;Peptides, e.g. proteins
A61K0049160000;Antibodies. Immunoglobulins. Fragments thereof
A61K0049180000;characterised by a special physical form, e.g. emulsions, microcapsules, liposomes
A61K0049200000;containing free radicals
A61K0049220000;Echographic preparations. Ultrasound imaging preparations
A61K0050000000;Electrically conductive preparations for use in therapy or testing . in vivo, e.g. conductive adhesives or gels to be used with electrodes for electrocardiography (ECG) or for transcutaneous drug administration
A61K0051000000;Preparations containing radioactive substances for use in therapy or testing . in vivo
A61K0051020000;characterised by the carrier
A61K0051040000;Organic compounds
A61K0051060000;Macromolecular compounds
A61K0051080000;Peptides, e.g. proteins
A61K0051100000;Antibodies or immunoglobulins. Fragments thereof
A61K0051120000;characterised by a special physical form, e.g. emulsion, microcapsules, liposomes
A61K0101000000;Indexing scheme associated with group A61K0051000000, relating to the nature of the radioactive substance.
A61K0101000000;Radioactive non-metals
A61K0101020000;Halogens
A61K0103000000;Radioactive metals
A61K0103100000;TechnetiumRhenium
A61K0103200000;Indium
A61K0103300000;Rare earths
A61K0103320000;Yttrium
A61K0103340000;Gadolinium
A61K0103360000;Ytterbium
A61K0103400000;Actinides
A61K0125000000;Indexing scheme associated with group A61K0036000000, relating to plant parts with medicinal activity.
A61K0125000000;Containing or obtained from roots, bulbs, tubers, corms or rhizomes
A61K0127000000;Containing or obtained from leaves
A61K0129000000;Containing or obtained from bark
A61K0131000000;Containing or obtained from seeds, nuts, fruits or grains
A61K0133000000;Containing or obtained from flowers or blossoms
A61K0135000000;Containing or obtained from stems, stalks, branches, twigs or shoots
A61L;METHODS OR APPARATUS FOR STERILISING MATERIALS OR OBJECTS IN GENERAL. DISINFECTION, STERILISATION, OR DEODORISATION OF AIR. CHEMICAL ASPECTS OF BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES. MATERIALS FOR BANDAGES, DRESSINGS, ABSORBENT PADS, OR SURGICAL ARTICLES (preservation of bodies or disinfecting characterised by the agent employed A01N. preserving, e.g. sterilising, food or foodstuffs A23. preparations for medical, dental or toilet purposes A61K)
A61L0002000000;Disinfection or sterilising
A61L0002000000;Methods or apparatus for disinfecting or sterilising materials or objects other than foodstuffs or contact lenses. Accessories therefor (atomisers for disinfecting agents A61M. sterilisation of packages or package contents in association with packaging B65B0055000000. treatment of water, waste water, sewage or sludge C02F. disinfecting paper D21H0021360000. disinfecting devices for water closets E03D. articles having provision for disinfection, see the relevant subclasses for these articles, e.g. H04R0001120000)
A61L0002020000;using physical phenomena
A61L0002025000;Ultrasonics
A61L0002030000;Electric current, e.g. electrolysis
A61L0002040000;Heat (A61L0002080000 takes precedence)..
A61L0002060000;Hot gas
A61L0002070000;Steam
A61L0002080000;Radiation
A61L0002100000;Ultra-violet radiation
A61L0002120000;Microwaves
A61L0002140000;Plasma, i.e. ionised gases
A61L0002160000;using chemical substances
A61L0002180000;Liquid substances
A61L0002200000;Gaseous substances, e.g. vapours
A61L0002220000;Phase substances, e.g. smokes, aerosols
A61L0002230000;Solid substances, e.g. granules, powders, blocks, tablets
A61L0002232000;layered or coated
A61L0002235000;cellular, porous or foamed
A61L0002238000;Metals or alloys, e.g. oligodynamic metals
A61L0002240000;Apparatus using programmed or automatic operation
A61L0002260000;Accessories
A61L0002280000;Devices for testing the effectiveness or completeness of sterilisation, e.g. indicators which change colour (apparatus involving enzymes or micro-organisms C12M0001340000)
A61L0009000000;Disinfection, sterilisation or deodorisation of air (purifying air by respirators A62B, A62D0009000000.  chemical or biological purification of waste gases B01D0053340000.  air-conditioning systems incorporating sterilisation F24F0003160000)
A61L0009010000;Deodorant compositions
A61L0009012000;characterised by being in a special form, e.g. gels, emulsions
A61L0009013000;containing animal or plant extracts, or vegetable material
A61L0009014000;containing sorbent material, e.g. activated carbon
A61L0009015000;using gaseous or vaporous substances, e.g. ozone (A61L0009200000 takes precedence)..
A61L0009020000;using substances evaporated in the air by heating or combustion
A61L0009030000;Apparatus therefor
A61L0009040000;using substances evaporated in the air without heating
A61L0009050000;specially adapted to be released by contact with a liquid, e.g. for toilets
A61L0009120000;Apparatus, e.g. holders, therefor
A61L0009140000;using sprayed or atomised substances
A61L0009160000;using physical phenomena
A61L0009180000;Radiation (A61L0009220000 takes precedence)..
A61L0009200000;Ultra-violet radiation
A61L0009220000;Ionisation
A61L0011000000;Disinfection or sterilising methods specially adapted for refuse
A61L0012000000;Methods or apparatus for disinfecting or sterilising contact lenses. Accessories therefor
A61L0012020000;using physical phenomena, e.g. electricity, ultrasonics or ultrafiltration
A61L0012040000;Heat (A61L0012060000 takes precedence)..
A61L0012060000;Radiation, e.g. ultra-violet or microwaves
A61L0012080000;using chemical substances
A61L0012100000;Halogens or compounds thereof
A61L0012120000;Non-macromolecular oxygen-containing compounds, e.g hydrogen peroxide or ozone (A61L0012100000 takes precedence)..
A61L0012140000;Organic compounds not covered by groups . A61L0012100000.  or A61L0012120000
A61L0015000000;Chemical aspects of bandages, dressings, or absorbent pads or use of materials for their realisation. Materials for surgical articles, e.g. surgical sutures. Surgical adhesives or cements. Materials for prostheses, catheters or colostomy devices
A61L0015000000;Chemical aspects of, or use of materials for, bandages, dressings or absorbent pads (for liquid bandages A61L0026000000. radioactive dressings A61M0036140000)
A61L0015070000;Stiffening bandages
A61L0015080000;containing inorganic materials, e.g. plaster of Paris
A61L0015100000;containing organic materials
A61L0015120000;containing macromolecular materials
A61L0015140000;Use of materials characterised by their function or physical properties
A61L0015160000;Bandages, dressings or absorbent pads for physiological fluids such as urine or blood, e.g. sanitary towels, tampons
A61L0015180000;containing inorganic materials
A61L0015200000;containing organic materials
A61L0015220000;containing macromolecular materials
A61L0015240000;Macromolecular compounds obtained by reactions only involving carbon-to-carbon unsaturated bonds. Derivatives thereof
A61L0015260000;Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds. Derivatives thereof
A61L0015280000;Polysaccharides or their derivatives
A61L0015300000;Rubbers or their derivatives
A61L0015320000;Proteins, polypeptides. Degradation products or derivatives thereof, e.g. albumin, collagen, fibrin, gelatin
A61L0015340000;Oils, fats, waxes, or natural resins
A61L0015360000;containing micro-organisms
A61L0015380000;containing enzymes
A61L0015400000;containing ingredients of undetermined constitution or reaction products thereof
A61L0015420000;Use of materials characterised by their function or physical properties
A61L0015440000;Medicaments
