E;SECTION E FIXED CONSTRUCTIONS
E21B0033127000;with inflatable sleeve (E21B0033122000, E21B0033124000 take precedence)..
E21B0033128000;with a member expanded radially by axial pressure (E21B0033122000, E21B0033124000 take precedence)..
E21B0033129000;with mechanical slips for hooking into the casing (E21B0033122000, E21B0033124000 take precedence)..
E21B0033129500;actuated by fluid pressure
E21B0033130000;Methods or devices for cementing, for plugging holes, crevices, or the like (dump bailers E21B0027020000. chemical compositions therefor C09K0008000000)
E21B0033134000;Bridging plugs
E21B0033136000;Baskets, e.g. of umbrella type
E21B0033138000;Plastering the borehole wall. Injecting into the formation
E21B0033140000;for cementing casings into boreholes
E21B0033160000;using plugs for isolating cement charge. Plugs therefor
E21B0034000000;Valve arrangements for boreholes or wells (in drilling fluid circulation systems E21B0021100000. blow-out preventers E21B0033060000. oil flow regulating apparatus E21B0043120000. valves in general F16K)
E21B0034020000;in well heads
E21B0034040000;in underwater well heads
E21B0034060000;in wells
E21B0034080000;responsive to flow or pressure of the fluid obtained (E21B0034100000 takes precedence)..
E21B0034100000;operated by control fluid supplied from outside the borehole (control means being outside the borehole E21B0034160000)
E21B0034120000;operated by movement of casings or tubings
E21B0034140000;operated by movement of tools, e.g. sleeve valves operated by pistons or wire line tools
E21B0034160000;Control means therefor being outside the borehole
E21B0035000000;Methods or apparatus for preventing or extinguishing fires (cutting or deforming pipes to control fluid flow E21B0029080000. controlling flow of fluid to or in wells E21B0043120000. fire fighting in general A62C, A62D)
E21B0036000000;Heating, cooling, or insulating arrangements for boreholes or wells, e.g. for use in permafrost zones (drilling by use of heat E21B0007140000. secondary recovery methods using heat E21B0043240000)
E21B0036020000;using burners
E21B0036040000;using electrical heaters
E21B0037000000;Methods or apparatus for cleaning boreholes or wells (E21B0021000000 takes precedence.cleaning pipes in general B08B0009020000)
E21B0037020000;Scrapers specially adapted therefor
E21B0037040000;operated by fluid pressure, e.g. free-piston scrapers (operating other tools by fluid pressure E21B0023080000)
E21B0037060000;using chemical means for preventing or limiting the deposition of paraffins or like substances (chemical compositions therefor C09K0008520000)
E21B0037080000;cleaning  in situ of down-hole filters, screens, or gravel packs(E21B0037060000 takes precedence)..
E21B0037100000;Well swabs
E21B0040000000;Tubing catchers, automatically arresting the fall of oil-well tubing
E21B0041000000;Equipment or details not covered by groups . E21B0015000000-E21B0040000000
E21B0041020000; in situ inhibition of corrosion in boreholes or wells(dump bailers E21B0027020000. chemical compositions therefor C09K0008540000. inhibiting corrosion in general C23F)
E21B0041040000;Manipulators for underwater operations, e.g. temporarily connected to well heads (manipulators in general B25J)
E21B0041060000;Work chambers for underwater operations, e.g. temporarily connected to well heads (in general B63C0011000000)
E21B0041080000;Underwater guide bases, e.g. drilling templates. Levelling thereof
E21B0041100000;Guide posts, e.g. releasable. Attaching guide lines to underwater guide bases
E21B0043000000;Obtaining fluids from wells
E21B0043000000;Methods or apparatus for obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells (applicable only to water E03B. obtaining oil-bearing deposits or soluble or meltable materials by mining techniques E21C0041000000. pumps F04)
E21B0043010000;specially adapted for obtaining from underwater installations (underwater well heads E21B0033035000)
E21B0043013000;Connecting a production flow line to an underwater well head
E21B0043017000;Production satellite stations, i.e. underwater installations comprising a plurality of satellite well heads connected to a central station (underwater separating arrangements E21B0043360000)
E21B0043020000;Subsoil filtering (E21B0043110000 takes precedence.chemical compositions for consolidating loose sand or the like around wells C09K0008560000)
E21B0043040000;Gravelling of wells
E21B0043080000;Screens or liners
E21B0043100000;Setting of casings, screens or liners in wells (driving or forcing casings into boreholes, simultaneously drilling and casing boreholes E21B0007200000. setting of tools, packers or the like E21B0023000000. suspending casings in well heads E21B0033040000)
E21B0043110000;Perforators. Permeators
E21B0043112000;Perforators with extendable perforating members, e.g. actuated by fluid means
E21B0043114000;Perforators using direct fluid action, e.g. abrasive jets
E21B0043116000;Gun or shaped-charge perforators
E21B0043117000;Shaped-charge perforators (E21B0043118000 takes precedence)..
E21B0043118000;characterised by lowering in vertical position and subsequent tilting to operating position
E21B0043118500;Ignition systems
E21B0043119000;Details, e.g. for locating perforating place or direction
E21B0043120000;Methods or apparatus for controlling the flow of the obtained fluid to or in wells (E21B0043250000 takes precedence.valve arrangements E21B0034000000)
E21B0043140000;Obtaining from a multiple-zone well
E21B0043160000;Enhanced recovery methods for obtaining hydrocarbons (fracturing E21B0043260000. obtaining slurry E21B0043290000. reclamation of contaminated soil in situB09C)
E21B0043170000;Interconnecting two or more wells by fracturing or otherwise attacking the formation (E21B0043247000 takes precedence)..
E21B0043180000;Repressuring or vacuum methods
E21B0043200000;Displacing by water
E21B0043220000;Use of chemicals or bacterial activity (E21B0043270000 takes precedence.chemical or bacterial compositions therefor C09K0008580000. chemical features in extracting oils from oil sands or shales C10G)
E21B0043240000;using heat, e.g. steam injection (heating, cooling or insulating wells E21B0036000000)
E21B0043241000;combined with solution mining of non-hydrocarbon minerals, e.g. solvent pyrolysis of oil shale
E21B0043243000;Combustion . in situ
E21B0043247000;in association with fracturing processes
E21B0043248000;using explosives
E21B0043250000;Methods for stimulating production (dump bailers E21B0027020000. vibration generating arrangements E21B0028000000. chemical compositions therefor C09K0008600000)
E21B0043260000;by forming crevices or fractures
E21B0043263000;using explosives
E21B0043267000;reinforcing fractures by propping
E21B0043270000;by use of eroding chemicals, e.g. acids
E21B0043280000;Dissolving minerals other than hydrocarbons, e.g. by an alkaline or acid leaching agent (E21B0043241000 takes precedence)..
E21B0043285000;Melting minerals, e.g. sulfur (E21B0043240000 takes precedence.heating, cooling or insulating arrangements for wells E21B0036000000)
E21B0043290000;Obtaining a slurry of minerals, e.g. by using nozzles
E21B0043295000;Gasification of minerals, e.g. for producing mixtures of combustible gases (E21B0043243000 takes precedence)..
E21B0043300000;Specific pattern of wells, e.g. optimizing the spacing of wells (production satellite stations E21B0043017000)
E21B0043320000;Preventing gas- or water-coning phenomena, i.e. the formation of a conical column of gas or water around wells
E21B0043340000;Arrangements for separating materials produced by the well (separating apparatus per se, see the relevant subclasses)..
E21B0043360000;Underwater separating arrangements (E21B0043380000 takes precedence)..
E21B0043380000;in the well
E21B0043400000;Separation associated with re-injection of separated materials
E21B0044000000;Automatic control. Surveying or testing
E21B0044000000;Automatic control systems specially adapted for drilling operations, i.e. self-operating systems which function to carry out or modify a drilling operation without intervention of a human operator, e.g. computer-controlled drilling systems (for non-automatic drilling control, see the operation controlled.automatic feeding from rack and connecting of drilling pipes E21B0019200000. controlling pressure or flow of drilling fluid E21B0021080000). Systems specially adapted for monitoring a plurality of drilling variables or conditions (means for transmitting measuring-signals from the well to the surface E21B0047120000)
E21B0044020000;Automatic control of the tool feed (E21B0044100000 takes precedence)..
E21B0044040000;in response to the torque of the drive
E21B0044060000;in response to the flow or pressure of the motive fluid of the drive
E21B0044080000;in response to the amplitude of the movement of the percussion tool, e.g. jump or recoil
E21B0044100000;Arrangements for automatic stopping when the tool is lifted from the working face
E21B0045000000;Surveying or testing
E21B0045000000;Measuring the drilling time or rate of penetration
E21B0047000000;Survey of boreholes or wells (monitoring pressure or flow of drilling fluid E21B0021080000)
E21B0047001000;for underwater installations
E21B0047002000;by visual inspection
E21B0047003000;Determining well or borehole volumes (determining depth E21B0047040000. diameter E21B0047080000)
E21B0047005000;Monitoring or checking of cementation quality or level
E21B0047007000;Measuring stresses in a pipe string or casing (for locating blocked portions of pipes E21B0047090000)
E21B0047008000;"Monitoring of down-hole pump systems, e.g. for the detection of ""pumped-off"" conditions"
E21B0047009000;Monitoring of walking-beam pump systems
