C;SECTION C CHEMISTRY METALLURGY
C30B0001000000;Single-crystal growth directly from the solid state (unidirectional demixing of eutectoid materials C30B0003000000. under a protective fluid C30B0027000000)
C30B0001020000;by thermal treatment, e.g. strain annealing (C30B0001120000 takes precedence)..
C30B0001040000;Isothermal recrystallisation
C30B0001060000;Recrystallisation under a temperature gradient
C30B0001080000;Zone recrystallisation
C30B0001100000;by solid state reactions or multi-phase diffusion
C30B0001120000;by pressure treatment during the growth
C30B0003000000;Unidirectional demixing of eutectoid materials
C30B0005000000;Single-crystal growth from gels (under a protective fluid C30B0027000000)
C30B0005020000;with addition of doping materials
C30B0007000000;Single-crystal growth from liquids. Unidirectional solidification of eutectic materials
C30B0007000000;Single-crystal growth from solutions using solvents which are liquid at normal temperature, e.g. aqueous solutions (from molten solvents C30B0009000000. by normal or gradient freezing C30B0011000000. under a protective fluid C30B0027000000)
C30B0007020000;by evaporation of the solvent
C30B0007040000;using aqueous solvents
C30B0007060000;using non-aqueous solvents
C30B0007080000;by cooling of the solution
C30B0007100000;by application of pressure, e.g. hydrothermal processes
C30B0007120000;by electrolysis
C30B0007140000;the crystallising materials being formed by chemical reactions in the solution
C30B0009000000;Single-crystal growth from melt solutions using molten solvents (by normal or gradient freezing C30B0011000000. by zone-melting C30B0013000000. by crystal pulling C30B0015000000. on immersed seed crystal C30B0017000000. by liquid phase epitaxial growth C30B0019000000. under a protective fluid C30B0027000000)
C30B0009020000;by evaporation of the molten solvent
C30B0009040000;by cooling of the solution
C30B0009060000;using as solvent a component of the crystal composition
C30B0009080000;using other solvents
C30B0009100000;Metal solvents
C30B0009120000;Salt solvents, e.g. flux growth
C30B0009140000;by electrolysis
C30B0011000000;Single-crystal-growth by normal freezing or freezing under temperature gradient, e.g. Bridgman- Stockbarger method (C30B0013000000, C30B0015000000, C30B0017000000, C30B0019000000 take precedence.under a protective fluid C30B0027000000)
C30B0011020000;without using solvents (C30B0011060000 takes precedence)..
C30B0011040000;adding crystallising materials or reactants forming it . in situ to the melt
C30B0011060000;at least one but not all components of the crystal composition being added
C30B0011080000;every component of the crystal composition being added during the crystallisation
C30B0011100000;Solid or liquid components, e.g. Verneuil method
C30B0011120000;Vaporous components, e.g. vapour-liquid-solid-growth
C30B0011140000;characterised by the seed, e.g. its crystallographic orientation
C30B0013000000;Single-crystal growth by zone-melting. Refining by zone-melting (C30B0017000000 takes precedence.by changing the cross-section of the treated solid C30B0015000000. under a protective fluid C30B0027000000. for the growth of homogeneous polycrystalline material with defined structure C30B0028000000. zone-refining of specific materials, see the relevant subclasses for the materials).
C30B0013020000;Zone-melting with a solvent, e.g. travelling solvent process
C30B0013040000;Homogenisation by zone-levelling
C30B0013060000;the molten zone not extending over the whole cross-section
C30B0013080000;adding crystallising materials or reactants forming it . in situ to the molten zone
C30B0013100000;with addition of doping materials
C30B0013120000;in the gaseous or vapour state
C30B0013140000;Crucibles or vessels
C30B0013160000;Heating of the molten zone
C30B0013180000;the heating element being in contact with, or immersed in, the molten zone
C30B0013200000;by induction, e.g. hot wire technique (C30B0013180000¶ÿtakes precedence)..
C30B0013220000;by irradiation or electric discharge
C30B0013240000;using electromagnetic waves
C30B0013260000;Stirring of the molten zone
C30B0013280000;Controlling or regulating
C30B0013300000;Stabilisation or shape controlling of the molten zone, e.g. by concentrators, by electromagnetic fields. Controlling the section of the crystal
C30B0013320000;Mechanisms for moving either the charge or the heater
C30B0013340000;characterised by the seed, e.g. by its crystallographic orientation
C30B0015000000;Single-crystal growth by pulling from a melt, e.g. Czochralski method (under a protective fluid C30B0027000000)
C30B0015020000;adding crystallising materials or reactants forming it . in situ to the melt
C30B0015040000;adding doping materials, e.g. for n. p-junction
C30B0015060000;Non-vertical pulling
C30B0015080000;Downward pulling
C30B0015100000;Crucibles or containers for supporting the melt
C30B0015120000;Double crucible methods
C30B0015140000;Heating of the melt or the crystallised materials
C30B0015160000;by irradiation or electric discharge
C30B0015180000;using direct resistance heating in addition to other methods of heating, e.g. using Peltier heat
C30B0015200000;Controlling or regulating (controlling or regulating in general G05)
C30B0015220000;Stabilisation or shape controlling of the molten zone near the pulled crystal. Controlling the section of the crystal
C30B0015240000;using mechanical means, e.g. shaping guides (shaping dies for edge-defined film-fed crystal growth C30B0015340000)
C30B0015260000;using television detectors. using photo or X-ray detectors
C30B0015280000;using weight changes of the crystal or the melt, e.g. flotation methods
C30B0015300000;Mechanisms for rotating or moving either the melt or the crystal (flotation methods C30B0015280000)
C30B0015320000;Seed holders, e.g. chucks
C30B0015340000;Edge-defined film-fed crystal growth using dies or slits
C30B0015360000;characterised by the seed, e.g. its crystallographic orientation
C30B0017000000;Single-crystal growth on to a seed which remains in the melt during growth, e.g. Nacken-Kyropoulos method (C30B0015000000 takes precedence)..
C30B0019000000;Liquid-phase epitaxial-layer growth
C30B0019020000;using molten solvents, e.g. flux
C30B0019040000;the solvent being a component of the crystal composition
C30B0019060000;Reaction chambers. Boats for supporting the melt. Substrate holders
C30B0019080000;Heating of the reaction chamber or the substrate
C30B0019100000;Controlling or regulating (controlling or regulating in general G05)
C30B0019120000;characterised by the substrate
C30B0021000000;Unidirectional solidification of eutectic materials
C30B0021020000;by normal casting or gradient freezing
C30B0021040000;by zone-melting
C30B0021060000;by pulling from a melt
C30B0023000000;Single-crystal growth from vapours
C30B0023000000;Single-crystal growth by condensing evaporated or sublimed materials
C30B0023020000;Epitaxial-layer growth
C30B0023040000;Pattern deposit, e.g. by using masks
C30B0023060000;Heating of the deposition chamber, the substrate, or the materials to be evaporated
C30B0023080000;by condensing ionised vapours (by reactive sputtering C30B0025060000)
C30B0025000000;Single-crystal growth by chemical reaction of reactive gases, e.g. chemical vapour deposition growth
C30B0025020000;Epitaxial-layer growth
C30B0025040000;Pattern deposit, e.g. by using masks
C30B0025060000;by reactive sputtering
C30B0025080000;Reaction chambers. Selection of materials therefor
C30B0025100000;Heating of the reaction chamber or the substrate
C30B0025120000;Substrate holders or susceptors
C30B0025140000;Feed and outlet means for the gases. Modifying the flow of the reactive gases
C30B0025160000;Controlling or regulating (controlling or regulating in general G05)
C30B0025180000;characterised by the substrate
C30B0025200000;the substrate being of the same materials as the epitaxial layer
C30B0025220000;Sandwich processes
C30B0027000000;Single-crystal growth under a protective fluid
C30B0027020000;by pulling from a melt
C30B0028000000;Production of homogeneous polycrystalline material with defined structure
C30B0028020000;directly from the solid state
C30B0028040000;from liquids
C30B0028060000;by normal freezing or freezing under temperature gradient
C30B0028080000;by zone-melting
C30B0028100000;by pulling from a melt
C30B0028120000;directly from the gas state
C30B0028140000;by chemical reaction of reactive gases
C30B0029000000;Single crystals or homogeneous polycrystalline material with defined structure characterised by the material or by their shape
C30B0029020000;Elements
C30B0029040000;Diamond
C30B0029060000;Silicon
C30B0029080000;Germanium
C30B0029100000;Inorganic compounds or compositions
C30B0029120000;Halides
C30B0029140000;Phosphates
C30B0029160000;Oxides
C30B0029180000;Quartz
C30B0029200000;Aluminium oxides
C30B0029220000;Complex oxides
C30B0029240000;with formula AMeO. 3, wherein A is a rare earth metal and Me is Fe, Ga, Sc, Cr, Co, or Al, e.g. ortho ferrites
C30B0029260000;with formula BMe. 2O4, wherein B is Mg, Ni, Co, Al, Zn or Cd and Me is Fe, Ga, Sc, Cr, Co, or Al
C30B0029280000;with formula A. 3Me5O12, wherein A is a rare earth metal and Me is Fe, Ga, Sc, Cr, Co or Al, e.g. garnets
C30B0029300000;Niobates. Vanadates. Tantalates
C30B0029320000;Titanates. Germanates. Molybdates. Tungstates
C30B0029340000;Silicates
C30B0029360000;Carbides
C30B0029380000;Nitrides
C30B0029400000;A. IIIBV compounds
C30B0029420000;Gallium arsenide
C30B0029440000;Gallium phosphide
C30B0029460000;Sulfur-, selenium- or tellurium-containing compounds
C30B0029480000;A. IIBVI compounds
C30B0029500000;Cadmium sulfide
C30B0029520000;Alloys
C30B0029540000;Organic compounds
C30B0029560000;Tartrates
C30B0029580000;Macromolecular compounds
C30B0029600000;characterised by shape
C30B0029620000;Whiskers or needles
C30B0029640000;Flat crystals, e.g. plates, strips, disks
C30B0029660000;Crystals of complex geometrical shape, e.g. tubes, cylinders
C30B0029680000;"Crystals with laminate structure, e.g. ""superlattices"""
C30B0030000000;Production of single crystals or homogeneous polycrystalline material with defined structure characterised by the action of electric or magnetic fields, wave energy or other specific physical conditions
C30B0030020000;using electric fields, e.g. electrolysis
C30B0030040000;using magnetic fields
C30B0030060000;using mechanical vibrations
C30B0030080000;in conditions of zero-gravity or low gravity
C30B0031000000;After-treatment of single crystals or homogeneous polycrystalline material with defined structure
C30B0031000000;Diffusion or doping processes for single crystals or homogeneous polycrystalline material with defined structure. Apparatus therefor
C30B0031020000;by contacting with diffusion materials in the solid state
C30B0031040000;by contacting with diffusion materials in the liquid state
C30B0031060000;by contacting with diffusion material in the gaseous state (C30B0031180000 takes precedence)..
C30B0031080000;the diffusion materials being a compound of the elements to be diffused
C30B0031100000;Reaction chambers. Selection of materials therefor
C30B0031120000;Heating of the reaction chamber
C30B0031140000;Substrate holders or susceptors
C30B0031160000;Feed and outlet means for the gases. Modifying the flow of the gases
C30B0031180000;Controlling or regulating
C30B0031200000;Doping by irradiation with electromagnetic waves or by particle radiation
C30B0031220000;by ion-implantation
C30B0033000000;After-treatment of single crystals or homogeneous polycrystalline material with defined structure (C30B0031000000¶ÿtakes precedence)..
C30B0033020000;Heat treatment (C30B0033040000, C30B0033060000 take precedence)..
