H;SECTION H ELECTRICITY
H04N0003223000;Controlling dimensions (by maintaining the cathode-ray tube high voltage constant H04N0003185000)
H04N0003227000;Centering
H04N0003230000;Distortion correction, e.g. for pincushion distortion correction, S-correction
H04N0003233000;using active elements
H04N0003237000;using passive elements
H04N0003240000;Blanking circuits
H04N0003260000;Modifications of scanning arrangements to improve focusing
H04N0003270000;Circuits special to multi-standard receivers
H04N0003280000;producing multiple scanning, i.e. using more than one spot at the same time
H04N0003300000;otherwise than with constant velocity or otherwise than in pattern formed by unidirectional, straight, substantially horizontal or vertical lines
H04N0003320000;Velocity varied in dependence upon picture information
H04N0003340000;Elemental scanning area oscillated rapidly in direction transverse to main scanning direction
H04N0003360000;Scanning of motion picture films, e.g. for telecine
H04N0003380000;with continuously moving film
H04N0003400000;with intermittently moving film
H04N0005000000;Details of television systems (scanning details or combination thereof with generation of supply voltages H04N0003000000. specially adapted for colour television H04N0009000000. servers specially adapted for the distribution of content H04N0021200000. client devices specially adapted for the reception of or interaction with content H04N0021400000)
H04N0005040000;Synchronising (for television systems using pulse code modulation H04N0007240000)
H04N0005050000;Synchronising circuits with arrangements for extending range of synchronisation, e.g. by using switching between several time constants
H04N0005060000;Generation of synchronising signals
H04N0005067000;Arrangements or circuits at the transmitter end
H04N0005073000;for mutually locking plural sources of synchronising signals, e.g. studios or relay stations
H04N0005080000;Separation of synchronising signals from picture signals
H04N0005100000;Separation of line synchronising signal from frame synchronising signal
H04N0005120000;Devices in which the synchronising signals are only operative if a phase difference occurs between synchronising and synchronised scanning devices, e.g. flywheel synchronising
H04N0005140000;Picture signal circuitry for video frequency region (H04N0005222000 takes precedence)..
H04N0005160000;Circuitry for reinsertion of dc and slowly varying components of signal. Circuitry for preservation of black or white level
H04N0005180000;"by means of ""clamp"" circuit operated by switching circuit"
H04N0005200000;Circuitry for controlling amplitude response
H04N0005202000;Gamma control
H04N0005205000;for correcting amplitude . versus frequency characteristic
H04N0005208000;for compensating for attenuation of high frequency components, e.g. crispening, aperture distortion correction
H04N0005210000;Circuitry for suppressing or minimising disturbance, e.g. moire, halo (suppression of noise in television recording H04N0005911000)
H04N0005213000;Circuitry for suppressing or minimising impulsive noise (H04N0005217000 takes precedence)..
H04N0005217000;in picture signal generation (noise reduction or noise suppression involving solid-state image sensors H04N0005357000)
H04N0005222000;Studio circuitry. Studio devices. Studio equipment
H04N0005225000;Television cameras
H04N0005228000;Circuit details for pick-up tubes
H04N0005232000;Devices for controlling television cameras, e.g. remote control (H04N0005235000¶ÿtakes precedence)..
H04N0005235000;Circuitry for compensating for variation in the brightness of the object
H04N0005238000;by influencing optical part of the camera
H04N0005243000;by influencing the picture signal
H04N0005247000;Arrangement of television cameras
H04N0005253000;Picture signal generating by scanning motion picture films or slide opaques, e.g. for telecine (scanning details therefor H04N0003360000)
H04N0005257000;Picture signal generators using flying-spot scanners (H04N0005253000 takes precedence)..
H04N0005262000;Studio circuits, e.g. for mixing, switching-over, change of character of image, other special effects
H04N0005265000;Mixing
H04N0005268000;Signal distribution or switching (for broadcasting H04H0020000000)
H04N0005272000;Means for inserting a foreground image in a background image, i.e. inlay, outlay
H04N0005275000;Generation of keying signals
H04N0005278000;Subtitling
H04N0005280000;Mobile studios
H04N0005300000;Transforming light or analogous information into electric information (H04N0005222000¶ÿtakes precedence.scanning details H04N0003000000)
H04N0005320000;Transforming X-rays
H04N0005321000;with video transmission of fluoroscopic images
H04N0005325000;Image enhancement, e.g. by subtraction techniques using polyenergetic X-rays
H04N0005330000;Transforming infra-red radiation
H04N0005335000;using solid-state image sensors [SSIS] (H04N0005320000, H04N0005330000¶ÿtake precedence)..
H04N0005341000;Extracting pixel data from an image sensor by controlling scanning circuits, e.g. by modifying the number of pixels having been sampled or to be sampled
H04N0005343000;by switching between different modes of operation using different resolutions or aspect ratios, e.g. between still and video mode or between interlaced and non-interlaced mode
H04N0005345000;by partially reading an SSIS array
H04N0005347000;by combining or binning pixels in SSIS
H04N0005349000;for increasing resolution by shifting the sensor relative to the scene
H04N0005351000;Control of the SSIS depending on the scene, e.g. brightness or motion in the scene
H04N0005353000;Control of the integration time
H04N0005355000;Control of the dynamic range
H04N0005357000;Noise processing, e.g. detecting, correcting, reducing or removing noise
H04N0005359000;applied to excess charges produced by the exposure, e.g. smear, blooming, ghost image, crosstalk or leakage between pixels
H04N0005361000;applied to dark current
H04N0005363000;applied to reset noise, e.g. KTC noise
H04N0005365000;applied to fixed-pattern noise, e.g. non-uniformity of response
H04N0005367000;applied to defects, e.g. non-responsive pixels
H04N0005369000;SSIS architecture. Circuitry associated therewith
H04N0005372000;Charge-coupled device [CCD] sensors. Time delay and integration [TDI] registers or shift registers specially adapted for SSIS
H04N0005372200;using frame interline transfer [FIT]
H04N0005372500;using frame transfer [FT]
H04N0005372800;using interline transfer [IT]
H04N0005374000;Addressed sensors, e.g. MOS or CMOS sensors
H04N0005374500;having additional components embedded within a pixel or connected to a group of pixels within a sensor matrix, e.g. memories, A/D converters, pixel amplifiers, shared circuits or shared components
H04N0005376000;Addressing circuits
H04N0005378000;Readout circuits, e.g. correlated double sampling [CDS] circuits, output amplifiers or A/D converters
H04N0005380000;Transmitter circuitry (H04N0005140000 takes precedence)..
H04N0005400000;Modulation circuits
H04N0005420000;for transmitting at will black-and-white or colour signals
H04N0005440000;Receiver circuitry (H04N0005140000¶ÿtakes precedence)..
H04N0005445000;for displaying additional information (H04N0005500000¶ÿ takes precedence)..
H04N0005450000;Picture in picture
H04N0005455000;Demodulation-circuits
H04N0005460000;for receiving on more than one standard at will (deflecting circuits of multi-standard receivers H04N0003270000)
H04N0005500000;Tuning indicators. Automatic tuning control
