G;SECTION G PHYSICS
G09C0001020000;by using a ciphering code in chart form
G09C0001040000;with sign carriers or indicators moved relative to one another to positions determined by a permutation code or key, so as to indicate the appropriate corresponding clear or ciphered text
G09C0001060000;wherein elements corresponding to the signs making up the clear text are operatively connected with elements corresponding to the signs making up the ciphered text, the connections, during operation of the apparatus, being automatically and continuously permuted by a coding or key member
G09C0001080000;the connections being mechanical
G09C0001100000;the connections being electrical
G09C0001120000;comprising contact-bearing permutation discs
G09C0001140000;involving removable or interchangeable coding numbers, e.g. master tapes, punched cards
G09C0003000000;Typewriters for ciphering or deciphering cryptographic text
G09C0003020000;with auxiliary keys or keyboards acting on the original keys or keyboards
G09C0003040000;wherein the operative connections between the keys and the type-bars are automatically and continuously permuted, during operation, by a coding or key member
G09C0003060000;the connections being mechanical
G09C0003080000;the connections being electrical
G09C0003100000;involving removable or interchangeable coding members, e.g. master tapes, punched cards
G09C0005000000;Ciphering or deciphering apparatus or methods not provided for in other groups of this subclass, e.g. involving the concealment or deformation of graphic data such as designs, written or printed messages
G09D;RAILWAY OR LIKE TIME OR FARE TABLES. PERPETUAL CALENDARS
G09D0001000000;Railway or like time or fare tables. Indicating or reading aids therefor (incorporating maps or route diagrams, e.g. railway routing charts G09B0029000000)
G09D0003000000;Perpetual calendars (printed calendar blocks B42D0005040000. clockwork-driven perpetual calendars G04B0019240000)
G09D0003020000;with interchangeable members bearing the indicia
G09D0003040000;wherein members bearing the indicia are movably mounted in the calendar
G09D0003060000;with rotatable members
G09D0003080000;of disc form
G09D0003100000;with members in band form
G09D0003120000;electrically operated
G09F;DISPLAYING. ADVERTISING. SIGNS. LABELS OR NAME-PLATES. SEALS
G09F0001000000;Cardboard or like show-cards of foldable or flexible material
G09F0001020000;Single substantially-flat cards
G09F0001040000;Folded cards
G09F0001060000;to be erected in three dimensions (G09F0001080000 takes precedence)..
G09F0001080000;wholly or partly imitating the form of an object, e.g. of the article to be advertised
G09F0001100000;Supports or holders for show-cards
G09F0001120000;Frames therefor
G09F0001140000;in the form of legs
G09F0003000000;Labels, tag tickets, or similar identification or indication means. Seals. Postage or like stamps
G09F0003020000;Forms or constructions
G09F0003030000;of security seals
G09F0003040000;to be fastened or secured by the material of the label itself, e.g. by thermo-adhesion (by a separate adhesive layer G09F0003100000)
G09F0003060000;by clamping action (by separate clamps G09F0003160000)
G09F0003080000;Fastening or securing by means not forming part of the material of the label itself
G09F0003100000;by an adhesive layer
G09F0003120000;by pins, staples, or the like
G09F0003140000;by strings, straps, chains, or wires
G09F0003160000;by clamps
G09F0003180000;Casings, frames, or enclosures for labels
G09F0003200000;for adjustable, removable, or interchangeable labels
G09F0005000000;Means for displaying samples
G09F0005020000;Portable sample cases
G09F0005040000;Cards of samples. Books of samples
G09F0007000000;Signs, name or number plates, letters, numerals, or symbols. Panels or boards (show-cards G09F0001000000. indicating arrangements for variable information G09F0009000000, G09F0011000000. illuminated signs G09F0013000000. boards for notices or posters G09F0015000000)
G09F0007020000;Signs, plates, panels, or boards using readily-detachable elements bearing or forming symbols
G09F0007040000;the elements being secured or adapted to be secured by magnetic means
G09F0007060000;the elements being secured or adapted to be secured by means of pins and holes
G09F0007080000;the elements being secured or adapted to be secured by means of grooves, rails, or slits
G09F0007100000;and slidably mounted
G09F0007120000;the elements being secured or adapted to be secured by self-adhesion, moisture, suction, slow-drying adhesive, or the like
G09F0007140000;Constructional features of the symbol-bearing or -forming elements
G09F0007160000;Letters, numerals, or other symbols, adapted for permanent fixing to a support
G09F0007180000;Means for attaching signs, plates, panels, or boards to a supporting structure
G09F0007200000;for adjustably mounting
G09F0007220000;for rotatably or swingably mounting, e.g. for boards adapted to be rotated by the wind
G09F0009000000;Indicating arrangements for variable information in which the information is built-up on a support by selection or combination of individual elements (in which the variable information is permanently attached to a movable support G09F0011000000)
G09F0009300000;in which the desired character or characters are formed by combining individual elements
G09F0009302000;characterised by the form or geometrical disposition of the individual elements
G09F0009305000;being the ends of optical fibres (G09F0009302000 takes precedence)..
G09F0009307000;being incandescent filaments
G09F0009313000;being gas discharge devices
G09F0009330000;being semiconductor devices, e.g. diodes
G09F0009350000;being liquid crystals
G09F0009370000;being movable elements
G09F0009400000;in which the desired character is selected from a number of characters arranged one beside the other, e.g. on a common carrier plate
G09F0009460000;in which the desired character is selected from a number of characters arranged one behind the other
G09F0011000000;Indicating arrangements for variable information in which the complete information is permanently attached to a movable support which brings it to the display position
G09F0011020000;the display elements being secured to rotating members, e.g. drums, spindles
G09F0011040000;the elements being secured to rotating discs
G09F0011060000;the elements being stiff plates or cards (on rotating discs G09F0011040000)
G09F0011080000;the elements being flexible sheets (on rotating discs G09F0011040000)
G09F0011100000;Electric control therefor
G09F0011120000;the display elements being carried by endless belts, chains, or the like
G09F0011140000;the elements being in the form of stiff flaps, boards, cards, or the like
G09F0011150000;the elements being flexible sheets
G09F0011160000;Electric control therefor
G09F0011180000;the display elements being carried by belts, chains, or the like, other than endless
G09F0011200000;the elements being in the form of stiff flaps, boards, cards, or the like
G09F0011210000;the elements being flexible sheets
G09F0011220000;Electric control therefor
G09F0011230000;the advertising or display material forming part of rotating members, e.g. in the form of perforations, prints, or transparencies on a drum or disc
G09F0011235000;Electric control therefor
G09F0011240000;the advertising or display material forming part of a moving band, e.g. in the form of perforations, prints, or transparencies
G09F0011260000;of an endless band
G09F0011280000;Electric control therefor
G09F0011290000;of a band other than endless
G09F0011295000;Electric control therefor
G09F0011300000;the display elements being fed one by one from a storage place to a display position
G09F0011320000;the feeding means comprising belts or chains, e.g. endless belts or chains
G09F0011340000;the feeding means comprising electromagnets
